customerID,churn_prediction,churn_probability,top_shap_features
7590-VHVEG,1,0.68875927,"{'features': ['MonthlyCharges', 'tenure', 'Contract', 'PhoneService', 'TotalCharges'], 'values': [-1.1351995468139648, 0.9242004752159119, 0.8344114422798157, 0.506040096282959, -0.3536607623100281]}"
5575-GNVDE,0,0.023602584,"{'features': ['Contract', 'MonthlyCharges', 'OnlineSecurity', 'tenure', 'PaymentMethod'], 'values': [-0.9146660566329956, -0.6445126533508301, -0.5320273637771606, -0.5115795731544495, -0.31996479630470276]}"
3668-QPYBK,0,0.25651526,"{'features': ['Contract', 'OnlineSecurity', 'MonthlyCharges', 'PaymentMethod', 'tenure'], 'values': [0.7352021932601929, -0.7262532711029053, -0.5132630467414856, -0.5094136595726013, 0.4152223765850067]}"
7795-CFOCW,0,0.024517557,"{'features': ['Contract', 'MonthlyCharges', 'PhoneService', 'OnlineSecurity', 'TotalCharges'], 'values': [-0.9198776483535767, -0.845526933670044, 0.5385416150093079, -0.40363213419914246, -0.3880169689655304]}"
9237-HQITU,1,0.9518938,"{'features': ['Contract', 'tenure', 'OnlineSecurity', 'OnlineBackup', 'PaperlessBilling'], 'values': [0.9263557195663452, 0.6200255751609802, 0.2428629845380783, 0.15569359064102173, 0.14693203568458557]}"
9305-CDSKC,1,0.96674335,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'loving', 'the'], 'values': [1.3629517555236816, 0.8413653373718262, 0.4872377812862396, -0.452374666929245, 0.2904477119445801]}"
1452-KIOVK,0,0.4671946,"{'features': ['Contract', 'Dependents', 'MonthlyCharges', 'PaymentMethod', 'TechSupport'], 'values': [0.7080729007720947, -0.5733888149261475, 0.2868298590183258, -0.20847879350185394, 0.20147168636322021]}"
6713-OKOMC,0,0.33703887,"{'features': ['MonthlyCharges', 'Contract', 'kabhi', 'PaymentMethod', 'PhoneService'], 'values': [-0.9318506717681885, 0.6899848580360413, -0.6640053391456604, -0.5424005389213562, 0.4984706938266754]}"
7892-POOKP,1,0.7269795,"{'features': ['MonthlyCharges', 'Contract', 'TechSupport', 'tenure', 'customer'], 'values': [1.2164490222930908, 0.557021975517273, -0.34792596101760864, -0.3457586467266083, -0.26808640360832214]}"
6388-TABGU,0,0.010283938,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'the', 'StreamingMovies'], 'values': [-1.0946661233901978, -0.8023895621299744, -0.622944176197052, -0.5358666777610779, -0.2890181541442871]}"
9763-GRSKD,0,0.12565435,"{'features': ['MonthlyCharges', 'Contract', 'Dependents', 'PaymentMethod', 'tenure'], 'values': [-0.8524475693702698, 0.5507493615150452, -0.4436952769756317, -0.3821827173233032, -0.31416669487953186]}"
7469-LKBCI,0,0.004014413,"{'features': ['Contract', 'MonthlyCharges', 'frustrated', 'so', 'TotalCharges'], 'values': [-2.1408095359802246, -1.5553892850875854, -0.315449595451355, -0.30100297927856445, -0.23141779005527496]}"
