customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Feedback
7590-VHVEG,0,0,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,1,2,-1.160322916034919,-0.9942419353101232,0,Not bad 😂
5575-GNVDE,1,0,0,0,0.0663274190822359,1,0,0,2,0,2,0,0,0,1,0,3,-0.2596289419448806,-0.1732441257495937,0,Fast and reliable connection 👍
3668-QPYBK,1,0,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.959674071202044,1,Fast and reliable connection 👍
7795-CFOCW,1,0,0,0,0.5142514200025698,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465354629935549,-0.1947662633647771,0,Customer support is useless…
9237-HQITU,0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.1973652331008032,-0.9404697022531112,1,Love it! 😍🔥
9305-CDSKC,0,0,0,0,-0.9924020376385532,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.6451859741727949,1,Loving the wait time on customer support... NOT!
1452-KIOVK,1,0,0,1,-0.4223169455581282,1,2,1,0,2,0,0,2,0,0,1,1,0.8089065291619363,-0.1467994889670401,0,"Terrible experience, always disconnects 😡"
6713-OKOMC,0,0,0,0,-0.9109613101984924,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465100352518,-0.8741373704237511,0,"Kabhi kabhi disconnect ho jata hai, it's frustrating yaar."
7892-POOKP,0,0,1,0,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.3373492744317471,1,Customer support is useless…
6388-TABGU,1,0,0,1,1.2064976032430856,1,0,0,2,2,0,0,0,0,1,0,0,-0.2862176939475387,0.5324391741681479,0,Really love the new features.
9763-GRSKD,1,0,1,1,-0.7888002190384014,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805219681379,-0.7480728289670203,0,Conncetion is baddd sometimes.
7469-LKBCI,1,0,0,0,-0.6666391278783103,1,0,2,1,1,1,1,1,1,2,0,1,-1.522594662071134,-0.8631445247495343,0,"Never got refund, so frustrated!"
8091-TTVAX,1,0,1,0,1.0436161483629645,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854199314,1.5006704790038297,0,Fast and reliable connection 👍
0280-XJGEX,1,0,0,0,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2160043388136703,1,👌👌👌
5129-JLPIS,1,0,0,0,-0.3001558543980371,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759452164248,0.1784165658888543,0,"Supprt team was helpfull, thx!"
3655-SNQYZ,0,0,1,1,1.4915401492832985,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,2.478128710529918,0,"Average experience, could improve."
8191-XWSZG,0,0,0,0,0.7992939660427822,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935640654862,-0.5558083996047153,0,"Oh great, another outage, just what I needed 🙄"
9959-WOFKT,1,0,0,1,1.5729808767233588,1,2,1,2,0,2,0,2,2,2,0,0,1.393859073220412,2.251693748830891,0,"Service bilkul theek hai, par kabhi kabhi slow hota hai."
